N,P,K,temperature,humidity,ph,rainfall,label,yield_ton_per_ha
60.46826442923616,42.66102780382917,38.85122122962469,24.86000493797603,66.54399773469102,5.587478144617895,84.92013180494982,maize,3.66
38.70946334870799,82.42524100593441,63.37010139287706,15.15110684214475,58.95046108363415,6.501786091382205,87.0410515221019,chickpea,1.46
113.6966634544236,87.6692510179447,212.6545311196377,29.766204563105404,90.27230597923314,5.887396536830745,148.07861681797272,banana,20.36
68.29631951529961,69.46758391550235,55.24327820817599,27.128507709599138,90.80516558591512,7.061797852662138,150.6802197725334,papaya,25.14
122.20795361562502,45.30589636281747,59.86382046562747,22.421517351795917,78.0832736791215,6.461269291322827,71.6560906515298,cotton,2.48
20.172380051835606,40.399458651560565,23.799026061068407,29.553949052479407,70.3603069781704,6.209702082542385,72.68059858972278,mungbean,1.27
31.83615815326652,61.44458696544956,22.949060185323592,15.7324560410739,55.30793331785297,7.628613849818014,62.59938795637771,lentil,0.95
170.2097188379491,93.02233047630244,272.8470945558592,25.000528269322967,94.07841607693445,6.721313150581994,190.3981696589285,banana,20.76
68.46236395095461,58.06629335132372,49.66636443104507,30.313398544207363,79.83587960125314,6.733278295867652,206.66560776020623,jute,2.74
143.50715027758685,66.77278532608118,59.3122137513174,25.72940307188386,66.62786175393032,7.960000831198663,72.78782746665001,cotton,2.1
21.98885297768222,18.699194919848203,35.08673983110407,30.72233507513445,93.68884622374006,5.881406086446522,232.8125191856901,coconut,40.63
95.47652614469575,55.96010815480521,42.19046555288125,15.027958624688514,64.08560345794035,6.006948034506904,76.6749585845572,wheat,3.56
24.765793411061832,44.48765959599591,22.567543860822536,26.08679396769671,30.227175873780407,7.972446290948202,35.33281464417194,mothbeans,0.74
123.81164067585811,69.63319996411367,53.188516900265945,26.846228501560557,61.00725997986792,7.306679848837621,94.05705577660024,cotton,2.56
85.66195403951293,54.20775294876596,53.22261173651434,24.35177313297164,86.73187558261903,6.248743266291182,77.28908301964168,watermelon,15.05
94.66668711498532,59.55791975572253,58.68840276236659,29.504485507732163,89.65966748186136,7.01855574813366,44.96677341513136,muskmelon,12.37
28.914538731447493,18.47681197962217,49.8517975186769,17.511508833573963,68.73375853334299,7.2404235376261665,90.6655799872052,grapes,3.6
95.27711033218576,42.82469063761845,34.86700217347438,20.12607519975759,66.19511367276765,6.554799244245353,108.77414489476637,maize,4.11
71.90899862938593,55.54305816458947,50.11852508984341,29.603420564840675,84.50621151081401,6.498624463266284,210.8491086563617,jute,2.47
20.38289735993673,91.16410345583148,84.38789700610464,24.296756126599096,66.76309949977285,7.204216402236751,108.43680587715298,kidneybeans,1.11
24.78422176068437,75.73951598762402,21.12763707706463,18.69382647582585,47.64523056480824,7.340523011525486,61.85845470378331,lentil,1.5
26.784813223476725,51.87293981833341,44.58520962314649,19.199149772050216,47.45619462782278,5.975413932650922,132.79436911425157,pigeonpeas,1.14
38.86326255706699,18.84070109415731,206.71220334625585,22.549960467783727,92.25058345514672,5.910777089524291,117.53695996502913,apple,2.64
118.6661927617468,59.272399541785056,57.060189109347206,22.944488920695857,83.85097728601926,6.776705007275286,181.69220051562775,rice,4.23
52.98270215695076,66.5904633100151,66.73040388895157,33.14507968130532,96.45082691966786,6.866015387591876,165.20351423901286,papaya,25.57
